Nové košické firmy - denný log

=== 2026-08-25 (nové od 2026-08-18) - 114 firiem ===
Eduard Pohl | Košice - mestská časť Západ | vznik: 2026-08-18 | ?
JKV GROUP divízia Košice s. r. o. | Košice - mestská časť Nad jazerom | vznik: 2026-08-22 | ?
Jakub Göbl | Košice - mestská časť Pereš | vznik: 2026-08-21 | ?
Clonix s. r. o. | Košice - mestská časť Dargovských hrdinov | vznik: 2026-08-22 | ?
Alexander Harviľak | Košice - mestská časť Krásna | vznik: 2026-08-21 | Prenájom a lízing automobilov a ľahkých motorových vozidiel
VNIL s. r. o. | Košice - mestská časť Sever | vznik: 2026-08-22 | ?
Taurius Labs s. r. o. | Košice - mestská časť Nad jazerom | vznik: 2026-08-22 | ?
Družstvo Do & Phan | Košice - mestská časť Staré Mesto | vznik: 2026-08-22 | ?
Maximalizuj s. r. o. | Košice - mestská časť Košická Nová Ves | vznik: 2026-08-22 | ?
FaceLab s. r. o. | Košice - mestská časť Krásna | vznik: 2026-08-22 | ?
PATO ADVISORY GROUP, s. r. o. | Košice - mestská časť Staré Mesto | vznik: 2026-08-22 | ?
Humanus s. r. o. | Košice - mestská časť Sídlisko Ťahanovce | vznik: 2026-08-22 | ?
MPATech s. r. o. | Košice - mestská časť Západ | vznik: 2026-08-22 | ?
Vasix s. r. o. | Košice - mestská časť Juh | vznik: 2026-08-22 | ?
Lipstaving s. r. o. | Košice - mestská časť Západ | vznik: 2026-08-22 | ?
PATRiX ELEKTRO s. r. o. | Košice - mestská časť Nad jazerom | vznik: 2026-08-22 | ?
AMONY REAL ESTATES s. r. o. | Košice - mestská časť Staré Mesto | vznik: 2026-08-22 | ?
STAVELLO s. r. o. | Košice - mestská časť Staré Mesto | vznik: 2026-08-22 | ?
Casedat Plus s. r. o. | Košice - mestská časť Barca | vznik: 2026-08-22 | ?
AquaRex Protex s. r. o. | Košice - mestská časť Myslava | vznik: 2026-08-22 | ?
Mgr. Barbora Gažiová | Košice - mestská časť Staré Mesto | vznik: 2026-08-18 | ?
Karine Hiulumian | Košice - mestská časť Západ | vznik: 2026-08-20 | ?
AUTOŠKOLA ALFA KE s. r. o. | Košice - mestská časť Sever | vznik: 2026-08-22 | ?
GK HT s. r. o. | Košice - mestská časť Sídlisko KVP | vznik: 2026-08-22 | ?
Oleh Antoniuk | Košice - mestská časť Nad jazerom | vznik: 2026-08-20 | ?
Denis Vajda | Košice - mestská časť Sídlisko Ťahanovce | vznik: 2026-08-21 | ?
LARIK s. r. o. | Košice - mestská časť Krásna | vznik: 2026-08-22 | ?
Korl Tattoo s. r. o. | Košice - mestská časť Dargovských hrdinov | vznik: 2026-08-22 | ?
Toggo kosice s. r. o. | Košice - mestská časť Západ | vznik: 2026-08-23 | ?
LiveLoveDance s. r. o. | Košice - mestská časť Západ | vznik: 2026-08-23 | ?
ROBTEN Group s. r. o. | Košice - mestská časť Sídlisko KVP | vznik: 2026-08-23 | ?
J.V. Legacy s. r. o. | Košice - mestská časť Sídlisko KVP | vznik: 2026-08-23 | ?
Previon Group s. r. o. | Košice - mestská časť Sídlisko Ťahanovce | vznik: 2026-08-24 | ?
VIRELION DEVELOPMENT s. r. o. | Košice - mestská časť Západ | vznik: 2026-08-25 | ?
MEDICON s. r. o. | Košice - mestská časť Staré Mesto | vznik: 2026-08-25 | ?
S78 Consulting, s. r. o. | Košice - mestská časť Západ | vznik: 2026-08-25 | ?
CoreGPT s. r. o. | Košice - mestská časť Sídlisko KVP | vznik: 2026-08-25 | ?
Tactical Plus PDR, s. r. o. | Košice - mestská časť Juh | vznik: 2026-08-25 | ?
VL Solutions s. r. o. | Košice - mestská časť Sídlisko KVP | vznik: 2026-08-25 | ?
PVGR Consulting s. r. o. | Košice - mestská časť Dargovských hrdinov | vznik: 2026-08-25 | ?
PRIME ADVISORY s. r. o. | Košice - mestská časť Myslava | vznik: 2026-08-25 | ?
NITEC s. r. o. | Košice - mestská časť Sídlisko KVP | vznik: 2026-08-25 | ?
Šmeko s. r. o. | Košice - mestská časť Juh | vznik: 2026-08-25 | ?
Seres s. r. o. | Košice - mestská časť Staré Mesto | vznik: 2026-08-25 | ?
Ruslan Trashkov | Košice - mestská časť Nad jazerom | vznik: 2026-08-21 | ?
Šimon Sabolčík | Košice - mestská časť Západ | vznik: 2026-08-24 | Športové činnosti i. n.
VL1LG s. r. o. | Košice - mestská časť Staré Mesto | vznik: 2026-08-25 | ?
Alina Panova | Košice - mestská časť Staré Mesto | vznik: 2026-08-21 | ?
Mykhailo Pokhvatiuk | Košice - mestská časť Juh | vznik: 2026-08-20 | ?
Marek Lipták | Košice - mestská časť Kavečany | vznik: 2026-08-21 | ?
Matúš Stašík | Košice - mestská časť Sídlisko KVP | vznik: 2026-08-21 | ?
PRIME HEALTH s. r. o. | Košice - mestská časť Myslava | vznik: 2026-08-25 | ?
L&L EQUITY s. r. o. | Košice - mestská časť Juh | vznik: 2026-08-25 | ?
PRIME INSTITUTE s. r. o. | Košice - mestská časť Myslava | vznik: 2026-08-25 | ?
Roman Ivanyna | Košice - mestská časť Juh | vznik: 2026-08-21 | ?
Penates s. r. o. | Košice - mestská časť Juh | vznik: 2026-08-25 | ?
LORENKE s. r. o. | Košice - mestská časť Sever | vznik: 2026-08-25 | ?
Daniel Korfant | Košice - mestská časť Západ | vznik: 2026-08-24 | ?
Rodion Misiailo | Košice - mestská časť Staré Mesto | vznik: 2026-08-24 | ?
LevelUP Collective s. r. o. | Košice - mestská časť Nad jazerom | vznik: 2026-08-25 | ?
Monika Marszaliková - TOP MAX2 | Košice - mestská časť Dargovských hrdinov | vznik: 2026-08-24 | ?
Trion Studios s. r. o. | Košice - mestská časť Sídlisko KVP | vznik: 2026-08-25 | ?
Sklenárstvo - BETTY s. r. o. | Košice - mestská časť Sever | vznik: 2026-08-25 | ?
Skynext s. r. o. | Košice - mestská časť Západ | vznik: 2026-08-25 | ?
ProfiMC s. r. o. | Košice - mestská časť Západ | vznik: 2026-08-25 | ?
DAN-MONT Slovakia s. r. o. | Košice - mestská časť Západ | vznik: 2026-08-25 | ?
KONIG PROTOKOLL s. r. o. | Košice - mestská časť Západ | vznik: 2026-08-25 | ?
Makman s. r. o. | Košice - mestská časť Západ | vznik: 2026-08-25 | ?
DTF TechPrint s. r. o. | Košice - mestská časť Západ | vznik: 2026-08-25 | ?
Datax Plus s. r. o. | Košice - mestská časť Staré Mesto | vznik: 2026-08-25 | ?
FES66 s. r. o. | Košice - mestská časť Staré Mesto | vznik: 2026-08-25 | ?
BOGNAR GROUP s. r. o. | Košice - mestská časť Staré Mesto | vznik: 2026-08-25 | ?
Timisun s. r. o. | Košice - mestská časť Staré Mesto | vznik: 2026-08-25 | ?
MDF Macej s. r. o. | Košice - mestská časť Západ | vznik: 2026-08-25 | ?
Tamand s. r. o. | Košice - mestská časť Sídlisko Ťahanovce | vznik: 2026-08-25 | ?
MOKOŠ group s. r. o. | Košice - mestská časť Západ | vznik: 2026-08-25 | ?
SmartSupply s. r. o. | Košice - mestská časť Dargovských hrdinov | vznik: 2026-08-25 | ?
Kopnický s. r. o. | Košice - mestská časť Západ | vznik: 2026-08-25 | ?
